id;reference;titre;description;description_content_type;date_cloture;statut
1;amorphe dynamique;selon;../fake-data/blob/hipster.png;image/png;2026-03-11T21:25:58;OUVERT
2;au-dessous de commissionnaire;simple depuis;../fake-data/blob/hipster.png;image/png;2026-03-12T16:50:35;CLOTURE
3;zzzz pourvu que parmi;après que;../fake-data/blob/hipster.png;image/png;2026-03-12T08:46:56;OUVERT
4;souvent;autour de;../fake-data/blob/hipster.png;image/png;2026-03-12T02:15:06;OUVERT
5;chut;dring jeune enfant;../fake-data/blob/hipster.png;image/png;2026-03-12T06:34:28;OUVERT
6;parce que bon quelquefois;aigre;../fake-data/blob/hipster.png;image/png;2026-03-12T12:38:23;EVALUE
7;approximativement;tendre confirmer prout;../fake-data/blob/hipster.png;image/png;2026-03-11T23:03:25;EN_COURS_EVALUATION
8;plouf terne;atchoum subito;../fake-data/blob/hipster.png;image/png;2026-03-11T18:57:29;EN_COURS_EVALUATION
9;miam vouh;avant que brusque ouf;../fake-data/blob/hipster.png;image/png;2026-03-12T10:31:45;CLOTURE
10;désagréable cot cot;efficace;../fake-data/blob/hipster.png;image/png;2026-03-11T22:19:51;CLOTURE
