id;nom;ponderation;categorie;description
1;déchirer ranimer noyer;32349.01;ADMINISTRATIF;à la merci
2;deçà insolite;27859.98;TECHNIQUE;lancer de façon à ce que grrr
3;oups;28015.32;ADMINISTRATIF;repartir si bien que
4;à l'insu de aigre autour de;23204.78;TECHNIQUE;svelte crac antagoniste
5;vivace membre à vie;22064.41;ADMINISTRATIF;tandis que
6;dormir mairie;16323.65;ADMINISTRATIF;d'avec
7;tandis que adepte pourvu que;17805.84;FINANCIER;cadre de au prix de
8;lorsque;25514.71;ADMINISTRATIF;respecter du moment que ensemble
9;pourvu que du fait que pendant;14580.17;TECHNIQUE;antagoniste égoïste hors
10;lectorat propre déjà;8267.75;TECHNIQUE;ouille lorsque
