id;nom;format;url;contenu_ocr;id_externe
1;adversaire fourbe;ATTESTATION;https://aigre-rectorat.com/;../fake-data/blob/hipster.txt;à condition que biathlète employer
2;pêcher âcre;PV_CONFORMITE;https://ferme-police.info/;../fake-data/blob/hipster.txt;cuicui mature
3;secours crac en dedans de;OFFRE_TECHNIQUE;https://hirsute-commissionnaire.eu/;../fake-data/blob/hipster.txt;vers conclure d'après
4;responsable mairie;PV_CONFORMITE;https://pourpre-touriste.org/;../fake-data/blob/hipster.txt;demain bè
5;même si;OFFRE_TECHNIQUE;https://marron-mairie.name/;../fake-data/blob/hipster.txt;du moment que
6;ouf suivant équipe de recherche;OFFRE_TECHNIQUE;https://affable-population-du-quebec.com;../fake-data/blob/hipster.txt;cadre snif
7;chut ici barrer;PV_CONFORMITE;https://large-secours.fr;../fake-data/blob/hipster.txt;de manière à ce que rectangulaire meuh
8;obéir de crainte que;GARANTIE;https://extatique-conseil-dadministration.org/;../fake-data/blob/hipster.txt;intrépide
9;imiter auparavant;ATTESTATION;https://melancolique-corps-enseignant.net/;../fake-data/blob/hipster.txt;rallier incalculable
10;efficace;OFFRE_TECHNIQUE;https://moderne-fonctionnaire.info/;../fake-data/blob/hipster.txt;extatique
