id;titre;contenu;type_source;version;qdrant_uuid
1;jusqu’à ce que bè;../fake-data/blob/hipster.txt;JURISPRUDENCE;durant police tout;adhérer tic-tac
2;avant;../fake-data/blob/hipster.txt;GUIDE_INTERNE;pendant que;placide
3;pschitt préférer;../fake-data/blob/hipster.txt;JURISPRUDENCE;coucher réaliser;en entre écraser
4;blême sédentaire;../fake-data/blob/hipster.txt;PV_HISTORIQUE;pff aigre aussi;classer blablabla
5;au-dehors;../fake-data/blob/hipster.txt;JURISPRUDENCE;descendre;dès que insipide
6;snob vraisemblablement tellement;../fake-data/blob/hipster.txt;CODE_MARCHES;moyennant fonctionnaire dynamique;hystérique
7;aigre vétuste par;../fake-data/blob/hipster.txt;GUIDE_INTERNE;conférer;pis marron ici
8;juriste;../fake-data/blob/hipster.txt;CODE_MARCHES;incalculable vouh d'avec;sous
9;dynamique bof présidence;../fake-data/blob/hipster.txt;PV_HISTORIQUE;du moment que lâche sans doute;rose du moment que
10;dehors quoique aïe;../fake-data/blob/hipster.txt;CODE_MARCHES;via parlementaire;pff plouf
