id;action;horodatage;details;identifiant_utilisateur;prompt_utilise
1;tsoin-tsoin en dedans de;2026-03-11T20:37:51;../fake-data/blob/hipster.txt;extra;../fake-data/blob/hipster.txt
2;derechef terriblement coordonner;2026-03-12T01:59:45;../fake-data/blob/hipster.txt;tsoin-tsoin redresser foule;../fake-data/blob/hipster.txt
3;tout à fait;2026-03-12T03:35:36;../fake-data/blob/hipster.txt;triste condamner dans la mesure où;../fake-data/blob/hipster.txt
4;puis hystérique pin-pon;2026-03-12T00:56:24;../fake-data/blob/hipster.txt;rater géométrique;../fake-data/blob/hipster.txt
5;de façon à ce que;2026-03-12T18:34:31;../fake-data/blob/hipster.txt;entièrement énumérer;../fake-data/blob/hipster.txt
6;population du Québec;2026-03-12T16:24:12;../fake-data/blob/hipster.txt;vis-à-vie de clocher;../fake-data/blob/hipster.txt
7;sentir trop juriste;2026-03-11T21:37:50;../fake-data/blob/hipster.txt;commissionnaire parmi;../fake-data/blob/hipster.txt
8;de peur que;2026-03-12T15:51:05;../fake-data/blob/hipster.txt;si de;../fake-data/blob/hipster.txt
9;donner au point que tant;2026-03-12T05:40:06;../fake-data/blob/hipster.txt;large suivant;../fake-data/blob/hipster.txt
10;consoler;2026-03-12T11:23:19;../fake-data/blob/hipster.txt;adepte;../fake-data/blob/hipster.txt
